id,first_name,last_name,gender,part_time_job,absence_days,extracurricular_activities,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,class,average_score,academic_performance,over_absence_days,final_academic_performance,major_group
971,Andrew,Miller,male,FALSE,0,TRUE,Construction Engineer,96,98,99,65,95,76,68,C,83.9,excellent,No,excellent,computer science
972,Scott,Jacobson,male,FALSE,2,TRUE,Banker,81,68,97,86,90,78,80,C,80.6,excellent,No,excellent,economics
973,Jennifer,Baker,female,FALSE,2,FALSE,Software Engineer,87,89,61,66,72,90,61,C,76.6,good,No,good,computer science
974,Suzanne,Morrow,female,TRUE,9,TRUE,Business Owner,67,56,77,93,95,50,74,C,69.2,good,Yes,average,economics
975,Melissa,Gonzales,female,TRUE,2,FALSE,Artist,100,95,60,89,77,89,67,B,84.3,good,No,good,art
976,Erik,Miller,male,FALSE,3,FALSE,Software Engineer,88,74,60,60,78,94,69,C,76,good,No,good,computer science
977,Pamela,Flores,female,FALSE,1,TRUE,Software Engineer,86,64,100,76,99,77,86,A1,85.1,good,No,good,computer science
978,Amanda,Hernandez,female,FALSE,2,FALSE,Scientist,85,87,90,88,87,97,100,A,89.7,excellent,No,excellent,science researching
979,Gregory,Schaefer,male,FALSE,2,FALSE,Software Engineer,93,95,80,88,83,62,65,A,82.7,good,No,good,computer science
980,Annette,Logan,female,FALSE,3,TRUE,Unknown,80,66,77,81,99,99,83,C,83.3,excellent,No,excellent,unknown
981,Tamara,Long,female,TRUE,6,FALSE,Business Owner,56,67,57,79,87,89,89,A,71.6,good,Yes,average,economics
982,John,Baker,male,FALSE,7,FALSE,Construction Engineer,87,62,84,96,69,98,64,A1,82.9,good,Yes,average,computer science
983,Justin,Lynch,male,FALSE,4,TRUE,Real Estate Developer,97,85,96,61,97,79,70,C,81.9,good,No,good,economics
984,Daniel,Knight,male,FALSE,3,FALSE,Scientist,86,67,98,86,86,83,89,B,85.3,excellent,No,excellent,science researching
985,Angelica,Jones,female,TRUE,3,FALSE,Software Engineer,97,85,81,71,62,62,82,A,78.9,good,No,good,computer science
986,Lance,Nelson,male,FALSE,2,TRUE,Unknown,91,94,97,97,100,88,99,C,94.7,excellent,No,excellent,unknown
987,Katherine,Jacobson,female,FALSE,5,FALSE,Software Engineer,86,64,96,84,86,96,92,A1,88.2,good,Yes,average,computer science
988,Corey,Taylor,male,TRUE,8,FALSE,Business Owner,90,97,54,59,82,76,72,B,76.1,good,Yes,average,economics
989,Laura,Russell,female,FALSE,0,FALSE,Game Developer,95,87,87,84,95,84,65,A1,86.3,excellent,No,excellent,computer science
990,Arthur,Harris,male,FALSE,1,FALSE,Banker,90,100,76,76,84,79,84,C,85.2,excellent,No,excellent,economics
991,Victoria,Garcia,female,FALSE,1,TRUE,Unknown,66,68,87,70,77,76,89,A,75.6,good,No,good,unknown
992,David,Gonzales,male,FALSE,6,FALSE,Business Owner,81,92,72,91,67,71,88,A,80.6,excellent,Yes,good,economics
993,Charles,Thomas,male,TRUE,2,FALSE,Software Engineer,85,99,86,69,68,98,62,C,82.6,good,No,good,computer science
994,Oscar,Gonzalez,male,FALSE,1,TRUE,Doctor,94,90,95,85,98,91,96,A1,92.9,excellent,No,excellent,healthcare
995,Sarah,Miller,female,FALSE,2,FALSE,Game Developer,81,71,83,63,80,79,83,B,76.4,good,No,good,computer science
996,Eric,Davis,male,TRUE,1,TRUE,Software Engineer,97,87,95,67,98,93,89,C,89.5,excellent,No,excellent,computer science
997,Patrick,Martin,male,FALSE,3,TRUE,Accountant,100,79,72,98,87,76,76,A1,83.6,excellent,No,excellent,economics
998,Susan,Schmidt,female,TRUE,6,FALSE,Business Owner,54,64,72,80,98,83,85,A1,74.5,good,Yes,average,economics
999,Brett,Bell,male,TRUE,5,FALSE,Software Engineer,97,87,70,74,73,74,81,C,79.8,good,Yes,average,computer science
1000,Dennis,Summers,male,FALSE,1,TRUE,Real Estate Developer,65,83,67,84,89,65,73,C,74.7,good,No,good,economics
1001,Brandon,Smith,male,FALSE,10,TRUE,Business Owner,53,51,57,72,77,78,79,A,64.9,average,Yes,below average,economics
1002,Nicole,Williams,female,FALSE,10,TRUE,Real Estate Developer,82,74,80,88,92,96,95,B,86.9,excellent,Yes,good,economics
1003,Rachel,Frye,female,FALSE,10,FALSE,Business Owner,93,90,79,54,53,99,79,A,77.3,good,Yes,average,economics
1004,Tyler,Cabrera,male,FALSE,3,FALSE,Software Engineer,93,90,73,94,81,84,74,B,85.7,excellent,No,excellent,computer science
1005,Maureen,Jones,female,FALSE,9,FALSE,Business Owner,91,95,88,89,58,81,69,C,81.6,good,Yes,average,economics
1006,Pamela,Green,female,FALSE,3,FALSE,Scientist,99,91,85,100,84,77,98,A1,89.5,excellent,No,excellent,science researching
1007,Jeffery,Mcdonald,male,FALSE,0,FALSE,Construction Engineer,87,63,81,85,62,98,81,C,79.9,good,No,good,computer science
1008,Austin,Matthews,male,FALSE,0,FALSE,Unknown,83,79,91,62,63,76,93,C,79.5,good,No,good,unknown
1009,Jacqueline,Allen,female,FALSE,2,TRUE,Real Estate Developer,59,73,90,74,95,77,81,A1,77.5,good,No,good,economics
1010,Joanna,Dominguez,female,TRUE,2,FALSE,Unknown,74,68,71,60,97,64,63,B,72.8,good,No,good,unknown
1011,Brian,Griffin,male,FALSE,3,TRUE,Lawyer,81,98,71,92,74,93,63,C,82.6,good,No,good,law
1012,Dean,Lee,male,FALSE,3,TRUE,Game Developer,80,92,85,81,94,75,72,C,81.8,excellent,No,excellent,computer science
1013,Denise,Rodriguez,female,FALSE,0,TRUE,Banker,89,66,72,77,79,95,92,C,82.3,excellent,No,excellent,economics
1014,Brendan,Rivera,male,TRUE,3,FALSE,Unknown,65,78,82,65,100,92,64,B,77.6,good,No,good,unknown
1015,Jackson,Smith,male,TRUE,10,FALSE,Business Owner,94,61,60,77,75,93,60,A,75.1,good,Yes,average,economics
1016,Craig,Weber,male,FALSE,3,FALSE,Designer,93,70,80,67,77,80,91,C,79.9,good,No,good,art
1017,Joseph,Carpenter,male,FALSE,2,FALSE,Software Engineer,90,69,91,84,65,86,93,A1,84.5,excellent,No,excellent,computer science
1018,Sarah,Tucker,female,FALSE,3,FALSE,Unknown,67,60,87,73,92,82,70,C,74.3,good,No,good,unknown
1019,Steven,Hernandez,male,FALSE,3,FALSE,Accountant,81,91,73,72,49,81,72,A1,75.4,average,No,average,economics
1020,Robert,Foley,male,FALSE,1,FALSE,Software Engineer,95,71,88,96,82,65,80,A1,82.5,excellent,No,excellent,computer science
1021,Michael,Carr,male,FALSE,10,FALSE,Business Owner,67,50,93,86,66,73,85,C,72.8,good,Yes,average,economics
1022,Walter,Herrera,male,FALSE,7,FALSE,Game Developer,83,69,99,88,87,81,68,B,83.3,excellent,Yes,good,computer science
1023,Sarah,Mckinney,female,FALSE,3,TRUE,Artist,87,96,67,64,67,81,90,A,77,good,No,good,art
1024,Jacob,Nguyen,male,FALSE,3,TRUE,Construction Engineer,82,71,84,68,74,64,73,A1,74.6,good,No,good,computer science
1025,Mary,Garza,female,FALSE,4,FALSE,Accountant,97,87,65,90,66,84,75,C,81,excellent,No,excellent,economics
1026,Jesse,Hawkins,male,FALSE,1,TRUE,Software Engineer,88,67,77,89,97,70,71,C,76.7,good,No,good,computer science
1027,Jordan,Boyd,female,FALSE,4,FALSE,Banker,91,94,81,61,61,82,73,B,75.6,good,No,good,economics
1028,Latoya,Mullins,female,TRUE,7,FALSE,Business Owner,77,60,83,65,81,80,88,A1,77.4,good,Yes,average,economics
1029,Jill,Armstrong,female,FALSE,7,FALSE,Unknown,94,65,96,77,83,75,98,B,84.2,excellent,Yes,good,unknown
1030,Aaron,Peterson,male,TRUE,8,FALSE,Business Owner,100,82,91,82,70,51,77,B,80.5,good,Yes,average,economics
1031,April,Greene,female,FALSE,3,FALSE,Banker,96,75,79,72,69,94,64,A1,81.8,good,No,good,economics
1032,Theodore,Gomez,male,FALSE,5,TRUE,Accountant,75,64,76,65,44,80,91,C,73,average,Yes,below average,economics
1033,John,Gardner,male,FALSE,1,FALSE,Government Officer,94,84,85,63,67,89,66,C,78.7,good,No,good,politology
1034,Joseph,Petersen,male,FALSE,3,TRUE,Unknown,89,100,89,65,91,83,61,A1,83.9,good,No,good,unknown
1035,Matthew,Potter,male,TRUE,5,FALSE,Stock Investor,100,80,74,87,77,95,92,C,87.2,excellent,Yes,good,economics
1036,Linda,Munoz,female,FALSE,7,FALSE,Accountant,94,97,61,67,77,88,70,C,80.9,good,Yes,average,economics
1037,Samantha,Stewart,female,FALSE,6,FALSE,Government Officer,78,78,100,87,98,80,98,A1,87.7,excellent,Yes,good,politology
1038,Michael,Reyes,male,TRUE,6,FALSE,Business Owner,65,71,88,57,75,62,62,C,67.5,good,Yes,average,economics
1039,Sarah,Murphy,female,TRUE,7,FALSE,Writer,68,81,72,76,93,94,97,A,79.7,good,Yes,average,journalism
1040,Derrick,Melton,male,FALSE,8,TRUE,Artist,93,78,98,76,86,89,92,A1,89.2,excellent,Yes,good,art
1041,Donna,Horne,female,FALSE,2,FALSE,Scientist,100,64,95,83,83,94,83,C,84.3,good,No,good,science researching
1042,Natasha,Butler,female,FALSE,5,FALSE,Lawyer,85,99,64,78,63,95,91,B,80.1,good,Yes,average,law
1043,David,Vasquez,male,TRUE,1,TRUE,Doctor,80,93,82,89,94,95,70,B,86.6,excellent,No,excellent,healthcare
1044,Christopher,Lester,male,FALSE,8,FALSE,Lawyer,97,80,60,98,86,83,75,B,86,good,Yes,average,law
1045,Martin,Franco,male,FALSE,3,TRUE,Software Engineer,85,90,100,84,95,77,62,B,85.7,good,No,good,computer science
1046,Katherine,Donaldson,female,FALSE,2,FALSE,Banker,87,76,87,98,61,92,81,A,85.4,good,No,good,economics
1047,Harold,Daniels,male,FALSE,2,FALSE,Banker,79,70,82,63,90,89,96,A,79.3,good,No,good,economics
1048,Michael,Anderson,male,TRUE,3,FALSE,Government Officer,87,86,73,88,98,71,85,C,83,excellent,No,excellent,politology
1049,Nichole,Harrington,female,FALSE,6,FALSE,Lawyer,72,88,62,60,97,86,64,A,72.3,good,Yes,average,law
1050,Wendy,Clark,female,FALSE,4,TRUE,Doctor,89,99,93,99,87,89,98,A,93.5,excellent,No,excellent,healthcare
1051,Chelsea,Taylor,female,TRUE,0,FALSE,Unknown,62,88,87,90,84,88,95,C,86.5,good,No,good,unknown
1052,Jeffrey,Knight,male,FALSE,2,FALSE,Banker,93,84,86,82,62,87,84,B,81.5,good,No,good,economics
1053,Katelyn,Watkins,female,FALSE,3,FALSE,Accountant,75,97,97,83,74,74,74,A,82.9,good,No,good,economics
1054,Anne,Johnston,female,FALSE,1,FALSE,Banker,75,66,61,69,68,96,63,B,71,good,No,good,economics
1055,Rebecca,Carpenter,female,FALSE,1,FALSE,Unknown,88,93,92,70,90,94,85,A,86.2,excellent,No,excellent,unknown
1056,Ashley,Baker,female,FALSE,5,FALSE,Lawyer,86,95,95,72,72,80,65,A1,82.6,excellent,Yes,good,law
1057,Lacey,Norris,female,FALSE,8,FALSE,Lawyer,86,98,97,75,83,95,80,A,87.2,excellent,Yes,good,law
1058,Angela,Moore,female,FALSE,1,TRUE,Software Engineer,99,95,88,68,91,62,75,A1,82.7,good,No,good,computer science
1059,Maria,Obrien,female,FALSE,0,FALSE,Software Engineer,95,85,76,96,68,74,93,A,85.4,excellent,No,excellent,computer science
1060,Rebecca,Larsen,female,FALSE,2,FALSE,Software Engineer,92,72,61,93,86,97,79,B,85.1,good,No,good,computer science
1061,Amanda,Rodriguez,female,FALSE,5,FALSE,Doctor,88,91,96,99,85,62,86,B,87.9,good,Yes,average,healthcare
1062,Patrick,Clark,male,FALSE,7,FALSE,Banker,92,60,76,61,94,93,94,A1,83.1,good,Yes,average,economics
1063,Janet,Morrison,female,TRUE,8,FALSE,Business Owner,70,70,75,83,60,86,62,A,73.4,good,Yes,average,economics
1064,James,Acosta,male,TRUE,1,FALSE,Scientist,85,90,98,92,89,88,95,B,90.3,excellent,No,excellent,science researching
1065,Richard,Burke,male,FALSE,3,FALSE,Unknown,79,78,69,80,72,71,88,A1,75.6,good,No,good,unknown
1066,Donald,Contreras,male,FALSE,0,FALSE,Unknown,60,88,75,94,87,82,79,A,79.4,good,No,good,unknown
1067,Kenneth,Mendez,male,FALSE,10,FALSE,Business Owner,63,86,89,87,67,73,80,A1,77,good,Yes,average,economics
1068,Kenneth,Sparks,male,FALSE,3,FALSE,Banker,99,77,82,60,88,91,93,A1,86.2,good,No,good,economics
1069,Natasha,Morales,female,FALSE,4,FALSE,Accountant,93,61,71,82,43,94,88,B,75,average,No,average,economics
1070,David,Mendoza,male,FALSE,1,FALSE,Unknown,63,72,92,82,84,82,60,C,74.9,good,No,good,unknown
1071,Melissa,Wright,female,FALSE,1,FALSE,Business Owner,81,86,84,78,63,86,73,A,79.4,good,No,good,economics
1072,Cindy,Hamilton,female,FALSE,5,FALSE,Unknown,60,61,66,82,100,76,79,C,74,good,Yes,average,unknown
1073,Nancy,Walker,female,TRUE,7,FALSE,Business Owner,68,50,68,53,58,87,74,C,66.9,good,Yes,average,economics
1074,Matthew,Peterson,male,FALSE,7,FALSE,Stock Investor,89,97,65,75,61,60,60,A,73.6,good,Yes,average,economics
1075,Grant,Mason,male,FALSE,1,TRUE,Scientist,86,87,89,91,90,85,92,B,88.7,excellent,No,excellent,science researching
1076,David,Mays,male,FALSE,2,TRUE,Real Estate Developer,71,96,83,76,60,87,74,A,77.7,good,No,good,economics
1077,Sheryl,Parker,female,FALSE,9,FALSE,Business Owner,72,69,58,79,70,50,98,A1,67.6,good,Yes,average,economics
1078,Ross,Sanchez,male,FALSE,2,FALSE,Unknown,74,67,90,69,83,89,68,A1,79.3,good,No,good,unknown
1079,Robert,Barnett,male,FALSE,2,FALSE,Software Engineer,99,84,75,81,91,87,63,B,85.1,good,No,good,computer science
1080,Dean,Sims,male,FALSE,4,FALSE,Stock Investor,99,78,74,95,72,65,91,A1,81.2,excellent,No,excellent,economics
1081,Jaime,Morrison,male,FALSE,2,FALSE,Software Engineer,88,71,82,98,91,73,74,A,84.5,excellent,No,excellent,computer science
1082,Regina,Hernandez,female,FALSE,3,FALSE,Unknown,65,72,77,89,74,76,61,A,74.5,good,No,good,unknown
1083,Margaret,Smith,female,TRUE,5,FALSE,Business Owner,90,99,87,81,90,80,92,A1,87.6,excellent,Yes,good,economics
1084,Kyle,Garcia,male,FALSE,9,FALSE,Lawyer,91,88,79,60,82,96,83,A1,84.5,good,Yes,average,law
1085,Trevor,Stark,male,TRUE,3,FALSE,Lawyer,86,92,66,66,100,99,91,C,88.2,excellent,No,excellent,law
1086,Nathaniel,Adams,male,FALSE,2,FALSE,Software Engineer,86,84,98,67,76,75,65,A1,81,excellent,No,excellent,computer science
1087,Gabriela,Martinez,female,FALSE,4,FALSE,Software Engineer,92,91,85,94,69,80,71,C,82.4,excellent,No,excellent,computer science
1088,Debra,Walter,female,FALSE,3,TRUE,Banker,90,97,64,64,61,81,93,C,82.1,good,No,good,economics
1089,Kimberly,Herrera,female,FALSE,3,FALSE,Accountant,98,69,61,62,82,87,64,C,74.3,good,No,good,economics
1090,William,Fleming,male,FALSE,1,FALSE,Lawyer,72,93,68,62,83,98,67,C,80.1,good,No,good,law
1091,Brandon,Foster,male,TRUE,3,TRUE,Scientist,77,93,83,84,83,84,71,A1,81.9,excellent,No,excellent,science researching
1092,John,Wilson,male,FALSE,10,FALSE,Business Owner,75,52,84,70,81,99,85,C,78.2,good,Yes,average,economics
1093,George,Kerr,male,TRUE,1,FALSE,Lawyer,94,82,83,76,83,93,94,C,87.4,excellent,No,excellent,law
1094,Kenneth,Gilbert,male,FALSE,7,FALSE,Banker,75,88,71,62,90,78,95,B,78.6,good,Yes,average,economics
1095,Jodi,Price,female,FALSE,0,FALSE,Software Engineer,91,91,66,97,62,89,82,B,82.8,good,No,good,computer science
1096,Jordan,Sheppard,male,FALSE,0,FALSE,Accountant,75,64,100,63,98,71,73,A1,79,good,No,good,economics
1097,Tristan,Martinez,male,FALSE,3,FALSE,Accountant,93,79,86,72,89,61,98,B,83.2,good,No,good,economics
1098,Sharon,Chandler,female,FALSE,5,FALSE,Game Developer,86,81,80,85,62,86,69,C,78.5,good,Yes,average,computer science
1099,Steven,Allen,male,FALSE,1,FALSE,Unknown,92,61,96,79,97,89,78,C,82,good,No,good,unknown
1100,Douglas,Robertson,male,FALSE,5,FALSE,Software Engineer,90,91,61,72,64,84,72,C,78.1,good,Yes,average,computer science
1101,Sabrina,Zavala,female,FALSE,1,FALSE,Scientist,92,78,96,91,82,98,100,C,91.3,excellent,No,excellent,science researching
1102,Corey,Merritt,male,FALSE,2,FALSE,Accountant,90,88,71,96,72,74,80,C,81.3,excellent,No,excellent,economics
1103,Jennifer,Salas,female,FALSE,6,TRUE,Lawyer,78,92,77,100,61,82,61,B,79,good,Yes,average,law
1104,John,Klein,male,FALSE,10,FALSE,Business Owner,82,58,58,91,91,55,98,A1,72.8,good,Yes,average,economics
1105,Rachel,Grant,female,FALSE,5,FALSE,Software Engineer,86,62,81,63,75,92,95,A1,81.3,good,Yes,average,computer science
1106,Jose,Wood,male,FALSE,1,FALSE,Scientist,83,63,93,94,93,90,78,C,82.5,good,No,good,science researching
1107,Michelle,Mcdonald,female,FALSE,0,FALSE,Teacher,69,85,70,79,68,81,89,A1,76.1,good,No,good,teaching
1108,Thomas,George,male,FALSE,0,FALSE,Banker,83,81,96,96,62,82,77,C,81.7,good,No,good,economics
1109,Charles,Torres,male,FALSE,2,FALSE,Banker,84,63,98,70,92,78,93,C,81.2,good,No,good,economics
1110,Jonathan,Finley,male,FALSE,2,TRUE,Banker,89,71,77,88,66,80,87,B,80.1,excellent,No,excellent,economics
1111,Diana,Long,female,FALSE,0,FALSE,Accountant,77,99,73,83,71,82,80,C,82.6,excellent,No,excellent,economics
1112,Jonathan,Johnson,male,FALSE,0,FALSE,Construction Engineer,94,88,98,64,99,98,96,A,89.3,good,No,good,computer science
1113,Nicole,Robinson,female,FALSE,3,FALSE,Teacher,93,64,81,74,96,94,98,B,86.3,good,No,good,teaching
1114,Rebecca,Mckinney,female,FALSE,3,FALSE,Doctor,92,88,90,94,88,92,96,C,91.6,excellent,No,excellent,healthcare
1115,Daniel,Guerrero,male,FALSE,2,FALSE,Real Estate Developer,73,87,92,99,84,91,71,B,85.3,excellent,No,excellent,economics
1116,Jillian,Dominguez,female,FALSE,3,TRUE,Unknown,90,87,100,98,91,98,96,C,94.1,excellent,No,excellent,unknown
1117,Samantha,Phillips,female,TRUE,10,FALSE,Business Owner,87,58,85,82,100,87,91,A,84.4,good,Yes,average,economics
1118,Dylan,Rogers,male,FALSE,2,FALSE,Software Engineer,88,74,99,72,63,87,79,B,78.5,good,No,good,computer science
1119,Brittany,Spencer,female,FALSE,6,FALSE,Unknown,88,99,71,85,82,94,90,A,85.3,excellent,Yes,good,unknown
1120,Melissa,Terry,female,TRUE,1,TRUE,Banker,96,87,64,88,64,92,77,B,81.6,good,No,good,economics
1121,Robin,Perez,female,FALSE,3,FALSE,Doctor,89,96,85,91,100,91,91,B,92.3,excellent,No,excellent,healthcare
1122,Veronica,Hopkins,female,FALSE,1,FALSE,Real Estate Developer,58,77,69,83,94,70,97,A,75.8,good,No,good,economics
1123,Daniel,Lewis,male,FALSE,2,FALSE,Doctor,95,98,97,94,88,99,96,C,96,excellent,No,excellent,healthcare
1124,Mallory,Collins,female,FALSE,8,TRUE,Banker,76,69,86,72,71,79,63,C,72.7,good,Yes,average,economics
1125,Stephen,Sosa,male,FALSE,2,FALSE,Construction Engineer,87,89,91,76,77,97,61,B,81.8,good,No,good,computer science
1126,Andrew,Hunter,male,FALSE,2,FALSE,Unknown,60,65,86,66,61,99,89,C,77.9,good,No,good,unknown
1127,David,Hartman,male,FALSE,10,FALSE,Business Owner,70,61,83,52,81,97,69,A1,76.3,good,Yes,average,economics
1128,Paul,Taylor,male,FALSE,6,FALSE,Construction Engineer,90,86,99,94,100,89,85,A,92.6,excellent,Yes,good,computer science
1129,Brittany,Simmons,female,FALSE,2,FALSE,Unknown,75,96,61,73,60,77,81,B,73.1,good,No,good,unknown
1130,Emma,Jones,female,FALSE,3,TRUE,Accountant,96,100,96,87,83,81,95,B,90.4,excellent,No,excellent,economics
1131,Matthew,Aguilar,male,FALSE,2,FALSE,Banker,88,98,81,61,62,96,60,A1,81.1,good,No,good,economics
1132,Brett,Myers,male,FALSE,2,TRUE,Game Developer,99,60,87,94,71,93,93,B,86.1,good,No,good,computer science
1133,Lisa,Alexander,female,FALSE,4,FALSE,Teacher,86,99,64,88,84,95,97,A,85.1,good,No,good,teaching
1134,Stephanie,Allen,female,FALSE,4,TRUE,Designer,96,61,85,87,83,80,79,C,79.1,good,No,good,art
1135,Rebecca,Clark,female,FALSE,3,FALSE,Lawyer,87,99,70,81,62,90,91,A1,82.7,good,No,good,law
1136,Andrew,Sanders,male,FALSE,6,FALSE,Software Engineer,89,90,96,97,87,84,63,A1,87.5,good,Yes,average,computer science
1137,Julia,Day,female,FALSE,1,FALSE,Writer,77,98,67,67,80,90,66,C,79.9,good,No,good,journalism
1138,Amber,Levy,female,TRUE,6,FALSE,Business Owner,57,71,51,59,84,74,68,A,63.1,average,Yes,below average,economics
1139,Nicole,Daniel,female,FALSE,0,FALSE,Accountant,88,93,91,92,53,65,88,C,81.6,good,No,good,economics
1140,Sarah,Wells,female,FALSE,3,FALSE,Real Estate Developer,56,75,78,82,98,99,81,A,78.5,good,No,good,economics
1141,Laura,Stone,female,TRUE,1,FALSE,Accountant,94,79,64,79,96,98,93,C,87.3,good,No,good,economics
1142,Katherine,Glenn,female,FALSE,3,FALSE,Business Owner,57,71,76,59,58,84,73,A,67,good,No,good,economics
1143,Catherine,Mccall,female,TRUE,4,FALSE,Business Owner,81,86,68,65,87,78,82,A,76.1,good,No,good,economics
1144,Tammy,Andrews,female,FALSE,2,FALSE,Stock Investor,96,83,64,84,98,79,99,B,88.1,good,No,good,economics
1145,Kathryn,Powell,female,FALSE,8,FALSE,Banker,97,66,76,80,81,82,64,C,75.8,good,Yes,average,economics
1146,Michael,Lutz,male,FALSE,3,FALSE,Game Developer,86,76,92,86,75,67,79,A1,80.6,excellent,No,excellent,computer science
1147,Brian,Myers,male,FALSE,4,FALSE,Doctor,94,74,95,82,100,63,97,A1,85.7,good,No,good,healthcare
1148,Maria,Adams,female,FALSE,2,TRUE,Software Engineer,88,83,94,80,97,95,78,A1,89.2,excellent,No,excellent,computer science
1149,Ronnie,Nguyen,male,FALSE,3,FALSE,Unknown,84,74,74,67,72,99,65,A1,79.2,good,No,good,unknown
1150,Daniel,Stephens,male,FALSE,1,FALSE,Stock Investor,85,82,88,62,71,71,75,A1,77.8,good,No,good,economics
1151,Brandon,Oliver,male,FALSE,2,TRUE,Unknown,78,89,95,71,68,71,69,A,78.5,good,No,good,unknown
1152,David,Vazquez,male,FALSE,2,FALSE,Unknown,86,66,77,74,84,72,95,A1,78.9,good,No,good,unknown
1153,Desiree,Moore,female,FALSE,1,FALSE,Software Engineer,99,98,80,83,89,68,61,C,80.5,good,No,good,computer science
1154,Jessica,Turner,female,FALSE,0,FALSE,Teacher,67,64,99,84,100,81,78,B,82.4,good,No,good,teaching
1155,Scott,Bishop,male,FALSE,6,FALSE,Banker,84,94,60,83,97,75,97,B,85.4,good,Yes,average,economics
1156,Cassandra,Flores,female,TRUE,3,TRUE,Artist,72,62,96,95,97,71,83,C,79.2,good,No,good,art
1157,Miguel,Hernandez,male,TRUE,1,FALSE,Designer,74,88,99,92,93,85,81,A,87.7,excellent,No,excellent,art
1158,Brittany,Welch,female,TRUE,5,FALSE,Business Owner,74,74,83,52,70,87,95,A1,77.9,good,Yes,average,economics
1159,Robert,Ross,male,FALSE,3,FALSE,Lawyer,91,92,64,69,82,94,61,A,77.7,good,No,good,law
1160,Jennifer,White,female,FALSE,5,FALSE,Accountant,77,66,94,77,49,83,64,C,72.3,average,Yes,below average,economics
1161,Rebecca,Smith,female,FALSE,7,FALSE,Government Officer,87,90,91,60,95,67,62,A1,79.7,good,Yes,average,politology
1162,Jessica,Ferrell,female,FALSE,1,TRUE,Unknown,60,70,61,63,61,71,73,C,67.3,good,No,good,unknown
1163,Jeremy,Montgomery,male,FALSE,1,TRUE,Business Owner,92,84,86,80,73,97,88,B,84.5,excellent,No,excellent,economics
1164,Angel,Gilbert,female,TRUE,9,FALSE,Business Owner,71,89,63,50,63,64,69,C,69.1,good,Yes,average,economics
1165,Rebecca,Roman,female,FALSE,1,FALSE,Artist,62,100,91,75,99,76,78,A,80.9,good,No,good,art
1166,Frank,Lopez,male,FALSE,0,FALSE,Real Estate Developer,100,85,81,91,75,64,83,B,84.5,good,No,good,economics
1167,Thomas,Hernandez,male,FALSE,5,TRUE,Game Developer,94,65,100,77,66,96,68,B,80.3,excellent,Yes,good,computer science
1168,Crystal,Miller,female,FALSE,4,FALSE,Artist,98,80,66,94,86,72,86,A1,81.8,excellent,No,excellent,art
1169,Nicholas,Wallace,male,FALSE,3,FALSE,Construction Engineer,94,81,88,81,71,92,73,A,84.3,excellent,No,excellent,computer science
1170,Arthur,Brown,male,FALSE,3,FALSE,Game Developer,92,69,93,67,79,84,69,C,77.5,good,No,good,computer science
1171,Corey,Monroe,male,FALSE,5,TRUE,Business Owner,50,87,93,84,86,73,74,C,78.1,good,Yes,average,economics
1172,Angel,Green,female,FALSE,7,FALSE,Doctor,99,98,94,96,95,88,92,A1,94.3,excellent,Yes,good,healthcare
1173,Tina,Anderson,female,FALSE,3,FALSE,Teacher,70,68,89,60,79,85,66,C,73.6,good,No,good,teaching
1174,Rebecca,Khan,female,FALSE,6,FALSE,Government Officer,92,93,86,61,78,80,62,B,78.3,good,Yes,average,politology
1175,Terry,Dean,male,TRUE,1,FALSE,Banker,82,70,86,66,97,93,91,A1,84.6,excellent,No,excellent,economics
1176,Tyler,Martin,male,FALSE,7,TRUE,Construction Engineer,83,73,82,62,92,68,76,C,75.3,good,Yes,average,computer science
1177,Derrick,Hartman,male,FALSE,1,FALSE,Stock Investor,84,85,64,74,79,92,64,C,78.3,good,No,good,economics
1178,Mark,Stevens,male,FALSE,0,FALSE,Unknown,60,71,91,83,93,88,97,A1,82.2,good,No,good,unknown
1179,Scott,Tate,male,FALSE,3,FALSE,Unknown,67,60,99,60,82,81,63,C,71.6,good,No,good,unknown
1180,Melissa,Deleon,female,FALSE,3,FALSE,Doctor,96,92,93,91,88,90,88,B,91.3,excellent,No,excellent,healthcare
1181,Nicole,Newman,female,FALSE,4,FALSE,Stock Investor,97,63,61,77,74,94,61,B,77.5,good,No,good,economics
1182,Brent,Burton,male,FALSE,1,FALSE,Unknown,89,62,79,60,93,77,73,B,77.5,good,No,good,unknown
1183,Victor,Bright,male,FALSE,0,FALSE,Real Estate Developer,68,95,62,65,70,65,64,A,68.4,good,No,good,economics
1184,Kenneth,Turner,male,FALSE,9,TRUE,Construction Engineer,82,85,94,75,97,98,76,B,86.1,excellent,Yes,good,computer science
1185,Lisa,Bailey,female,FALSE,3,TRUE,Software Engineer,85,78,99,81,60,83,75,A1,82.8,good,No,good,computer science
1186,Nancy,Fowler,female,FALSE,3,TRUE,Unknown,86,66,84,86,74,91,66,A1,81.4,excellent,No,excellent,unknown
1187,Gabriel,Wilson,male,FALSE,2,FALSE,Accountant,87,86,89,94,93,91,88,A,89.8,excellent,No,excellent,economics
1188,Andrea,Barrett,female,FALSE,7,FALSE,Business Owner,98,81,58,78,91,74,75,A,78.9,good,Yes,average,economics
1189,Jessica,Williams,female,FALSE,9,TRUE,Real Estate Developer,91,94,75,86,84,67,97,B,85.5,excellent,Yes,good,economics
